Company Name,Ticker Symbol
TORRENT PHARMACEUTICALS LTD.,TORNTPHARM
TRANSCHEM LTD.-$,TRANSCHEM
AMBUJA CEMENTS LTD.,AMBUJACEM
UTL Industries Limited,UTLINDS
UNIPHOS ENTERPRISES LTD.,UNIPHOS
VARDHMAN HOLDINGS LTD.,VHL
HINDALCO INDUSTRIES LTD.,HINDALCO
WEST COAST PAPER MILLS LTD.,WSTCSTPAPR
HINDUSTAN ORGANIC CHEMICALS LTD.,HOCL
MPIL CORPORATION LTD.,MPILCORPL
PASUPATI ACRYLON LTD.,PASUPTAC
Kore Foods Ltd,KORE
PROCTER & GAMBLE HYGIENE & HEALTH CARE LTD.,PGHH
MUKAND LTD.,MUKANDLTD
AGC Networks Limited,AGCNET
UCAL FUEL SYSTEMS LTD.,UCALFUEL
HARRISONS MALAYALAM LTD.,HARRMALAYA
FEDERAL BANK LTD.,FEDERALBNK
TATA STEEL LTD.,TATASTEEL
SKF India Ltd,SKFINDIA
ASHOK LEYLAND LTD.,ASHOKLEY
CUMMINS INDIA LTD.,CUMMINSIND
TATA COMMUNICATIONS LTD.,TATACOMM
ABBOTT INDIA LTD.,ABBOTINDIA
BAJAJ HOLDINGS & INVESTMENT LTD.,BAJAJHLDNG
BHARAT FORGE LTD.,BHARATFORG
ESCORTS LTD.,ESCORTS
HINDUSTAN MOTORS LTD.,HINDMOTORS
LARSEN & TOUBRO LTD.,LT
MAHINDRA & MAHINDRA LTD.,M&M
BOSCH LTD.,BOSCHLTD
PREMIER LTD.,PREMIER
BHARAT PETROLEUM CORPORATION LTD.,BPCL
SIEMENS LTD.,SIEMENS
TATA MOTORS LTD.,TATAMOTORS
VOLTAS LTD.,VOLTAS
GREAT EASTERN SHIPPING CO.LTD.,GESHIP
DEEPAK FERTILISERS & PETROCHEMICALS CORPORATION LTD.,DEEPAKFERT
EXCEL INDUSTRIES LTD.,EXCELINDUS
Garware Hi-Tech Films Ltd,GRWRHITECH
GLAXOSMITHKLINE PHARMACEUTICALS LTD.,GLAXO
GUJARAT NARMADA VALLEY FERTILIZERS & CHEMICALS LTD.,GNFC
NOVARTIS INDIA LTD.,NOVARTIND
Sanofi India Ltd,SANOFI
PFIZER LTD.,PFIZER
GUJARAT STATE FERTILIZERS & CHEMICALS LTD.,GSFC
HINDUSTAN UNILEVER LTD.,HINDUNILVR
Akzo Nobel India Limited,AKZOINDIA
NOCIL LTD.,NOCIL
TATA CHEMICALS LTD.,TATACHEM
TAMILNADU PETROPRODUCTS LTD.,TNPETRO
ZUARI GLOBAL LTD.,ZUARIGLOB
NESTLE INDIA LTD.,NESTLEIND
Tata Consumer Products Ltd,TATACONSUM
ASIAN PAINTS LTD.,ASIANPAINT
BRITANNIA INDUSTRIES LTD.,BRITANNIA
COLGATE-PALMOLIVE (INDIA) LTD.,COLPAL
EIH LTD.,EIHOTEL
INDIAN HOTELS CO.LTD.,INDHOTEL
CASTROL INDIA LTD.,CASTROLIND
ITC LTD.,ITC
APOLLO TYRES LTD.,APOLLOTYRE
CEAT LTD.,CEATLTD
MODI RUBBER LTD.,MODIRUBBER
FINOLEX INDUSTRIES LTD.,FINOLEXIND
SUNRISE INDUSTRIAL TRADERS LTD.,SUNRINV
GOLD ROCK INVESTMENTS LTD.,ZGOLDINV
PEOPLES INVESTMENTS LTD.,PEOPLIN
DALAL STREET INVESTMENTS LTD.,DSINVEST
CENTRUM CAPITAL LTD.,CENTRUM
KARTIK INVESTMENTS TRUST LTD.,KARTKIN
TCI FINANCE LTD.,TCIFINANCE
KRATOS ENERGY & INFRASTRUCTURE LTD.,KRATOSENER
Antariksh Industries Ltd,ANTARIKSH
INDUSTRIAL INVESTMENT TRUST LTD.,IITL
INDUSTRIAL & PRUDENTIAL INVESTMENTS CO.LTD.,INDPRUD
TATA INVESTMENT CORPORATION LTD.,TATAINVEST
JAYABHARAT CREDIT LTD.-$,JAYBHCR
Prismx Global Ventures Ltd,PRISMX
MOTOR & GENERAL FINANCE LTD.,MOTOGENFIN
RAPID INVESTMENTS LTD.,RAPIDIN
WALCHAND PEOPLEFIRST LTD.,WALCHPF
SWASTIK SAFE DEPOSIT & INVESTMENTS LTD.,ZSWASTSA
W.H.BRADY & CO.LTD.,WHBRADY
TECHNVISION VENTURES LTD.,TECHNVISN
SHAILY ENGINEERING PLASTICS LTD.,SHAILY
BOMBAY BURMAH TRADING CORP.LTD.,BBTC
BOMBAY CYCLE & MOTOR AGENCY LTD.,BOMBCYC
GREAVES COTTON LTD.,GREAVESCOT
MULLER & PHIPPS (INDIA) LTD.,MULLER
AMALGAMATED ELECTRICITY CO.LTD.,AMALGAM
Anand Projects Ltd,ANANDPROJ
INDIANIVESH LTD.,INDIANVSH
COASTAL CORPORATION LTD.,COASTCORP
CHOWGULE STEAMSHIPS LTD.,CHOWGULSTM
GLOBAL OFFSHORE SERVICES LTD.-$,GLOBOFFS
