name,symbol,added_date
PUNJAB COMMUNICATIONS LTD.-$,PUNJCOMMU,2021-10-05
RSWM LTD.,RSWM,2021-10-05
RAJSHREE SUGARS & CHEMICALS LTD.,RAJSREESUG,2021-10-05
RALLIS INDIA LTD.,RALLIS,2021-10-05
SHREE RAMA NEWSPRINT LTD.,RAMANEWS,2021-10-05
RAMA PAPER MILLS LTD.,RAMAPPR-B,2021-10-05
RAMA PETROCHEMICALS LTD.,RAMAPETRO,2021-10-05
RAPICUT CARBIDES LTD.,RAPICUT,2021-10-05
Welspun Specialty Solutions Ltd,WELSPLSOL,2021-10-05
ROLTA INDIA LTD.,ROLTA,2021-10-05
RUBFILA INTERNATIONAL LTD.,RUBFILA,2021-10-05
RUCHI SOYA INDUSTRIES LTD.,RUCHISOYA,2021-10-05
SALORA INTERNATIONAL LTD.,SALORAINTL,2021-10-05
JINDAL SAW LTD.,JINDALSAW,2021-10-05
JK LAKSHMI CEMENT LTD.,JKLAKSHMI,2021-10-05
SHREE CEMENT LTD.,SHREECEM,2021-10-05
SHREE KRISHNA PAPER MILLS & INDUSTRIES LTD.,SKPMIL,2021-10-05
RELIANCE INFRASTRUCTURE LTD.,RELINFRA,2021-10-05
TATA POWER CO.LTD.,TATAPOWER,2021-10-05
SPML Infra Limited,SPMLINFRA,2021-10-05
SUNDRAM FASTENERS LTD.,SUNDRMFAST,2021-10-05
SUNFLAG IRON & STEEL CO.LTD.,SUNFLAG,2021-10-05
SUPREME PETROCHEM LTD.,SUPPETRO,2021-10-05
SWARAJ ENGINES LTD.,SWARAJENG,2021-10-05
TATA ELXSI LTD.,TATAELXSI,2021-10-05
ACC LTD.,ACC,2021-10-05
THERMAX LTD.,THERMAX,2021-10-05
THIRUMALAI CHEMICALS LTD.,TIRUMALCHM,2021-10-05
THOMAS COOK (INDIA) LTD.,THOMASCOOK,2021-10-05
TIMEX GROUP INDIA LTD.-$,TIMEX,2021-10-05
TOKYO PLAST INTERNATIONAL LTD.,TOKYOPLAST,2021-10-05
TORRENT PHARMACEUTICALS LTD.,TORNTPHARM,2021-10-05
TRANSCHEM LTD.-$,TRANSCHEM,2021-10-05
